year_month,uf,product,unit,volume
2008-01-01,PR,GASOLINA C,m3,135470.911691444
2008-01-01,SC,GASOLINA C,m3,118521.181860229
2008-01-01,RS,GASOLINA C,m3,179735.066269626
2008-01-01,MS,GASOLINA C,m3,30157.9168063437
2008-01-01,MT,GASOLINA C,m3,29426.3259089538
2008-01-01,GO,GASOLINA C,m3,74168.7437846484
2008-01-01,DF,GASOLINA C,m3,65839.7746518707
2009-01-01,RO,GASOLINA C,m3,18366.433
2009-01-01,AC,GASOLINA C,m3,5691.02779048632
2009-01-01,AM,GASOLINA C,m3,28728.170684501
2009-01-01,RR,GASOLINA C,m3,5403.27418636962
2009-01-01,PA,GASOLINA C,m3,585376.660474558
2009-01-01,AP,GASOLINA C,m3,8394.0
2009-01-01,TO,GASOLINA C,m3,14567.16
2009-01-01,MA,GASOLINA C,m3,36721.2
2009-01-01,PI,GASOLINA C,m3,24259.75
2009-01-01,CE,GASOLINA C,m3,53994.5
2009-01-01,RN,GASOLINA C,m3,28271.928
2009-01-01,PB,GASOLINA C,m3,29459.87
2009-01-01,PE,GASOLINA C,m3,52911.67
2009-01-01,AL,GASOLINA C,m3,14622.243
2009-01-01,SE,GASOLINA C,m3,16827.0783852923
2009-01-01,BA,GASOLINA C,m3,79643.7522430758
2009-01-01,MG,GASOLINA C,m3,238776.807488573
2009-01-01,ES,GASOLINA C,m3,511197.594614105
2009-01-01,RJ,GASOLINA C,m3,170050.778
2009-01-01,SP,GASOLINA C,m3,551032.466
2009-01-01,PR,GASOLINA C,m3,141648.652
2009-01-01,SC,GASOLINA C,m3,116202.875
2009-01-01,RS,GASOLINA C,m3,175094.688
2009-01-01,MS,GASOLINA C,m3,30379.08
2009-01-01,MT,GASOLINA C,m3,29287.438
2009-01-01,GO,GASOLINA C,m3,73795.563
2009-01-01,DF,GASOLINA C,m3,64076.0
2010-01-01,RO,GASOLINA C,m3,23634.94
2010-01-01,AC,GASOLINA C,m3,6012.5
2010-01-01,AM,GASOLINA C,m3,32799.441
2010-01-01,RR,GASOLINA C,m3,85768.4
2010-01-01,PA,GASOLINA C,m3,66977.72
2010-01-01,AP,GASOLINA C,m3,8506.8
2010-01-01,TO,GASOLINA C,m3,17667.29
2010-01-01,MA,GASOLINA C,m3,45609.6
2010-01-01,PI,GASOLINA C,m3,29498.75
2010-01-01,CE,GASOLINA C,m3,68996.897
2010-01-01,RN,GASOLINA C,m3,32310.55
2010-01-01,PB,GASOLINA C,m3,35198.85
2010-01-01,PE,GASOLINA C,m3,72063.638
2010-01-01,AL,GASOLINA C,m3,22001.41
2010-01-01,SE,GASOLINA C,m3,18730.0
2010-01-01,BA,GASOLINA C,m3,108191.366
2010-01-01,MG,GASOLINA C,m3,3677903.756
2010-01-01,ES,GASOLINA C,m3,66391.05
2010-01-01,RJ,GASOLINA C,m3,151231.798
2010-01-01,SP,GASOLINA C,m3,598530.562
2010-01-01,PR,GASOLINA C,m3,152006.113
2010-01-01,SC,GASOLINA C,m3,143637.691
2010-01-01,RS,GASOLINA C,m3,211339.16
2010-01-01,MS,GASOLINA C,m3,35423.81
2010-01-01,MT,GASOLINA C,m3,31924.67
2010-01-01,GO,GASOLINA C,m3,89270.172
2010-01-01,DF,GASOLINA C,m3,86663.368
2011-01-01,RO,GASOLINA C,m3,22519.617
2011-01-01,AC,GASOLINA C,m3,7931.0
2011-01-01,AM,GASOLINA C,m3,521355.097
2011-01-01,RR,GASOLINA C,m3,8807.6
2011-01-01,PA,GASOLINA C,m3,67818.87
2011-01-01,AP,GASOLINA C,m3,9579.7
2011-01-01,TO,GASOLINA C,m3,21280.65
2011-01-01,MA,GASOLINA C,m3,55803.9
2011-01-01,PI,GASOLINA C,m3,31479.5
2011-01-01,CE,GASOLINA C,m3,76624.377
2011-01-01,RN,GASOLINA C,m3,38472.626
2011-01-01,PB,GASOLINA C,m3,40603.52
2011-01-01,PE,GASOLINA C,m3,90327.33
2011-01-01,AL,GASOLINA C,m3,21272.22
2011-01-01,SE,GASOLINA C,m3,23575.508
2011-01-01,BA,GASOLINA C,m3,1588825.698
2011-01-01,MG,GASOLINA C,m3,395913.76
2011-01-01,ES,GASOLINA C,m3,59924.134
2011-01-01,RJ,GASOLINA C,m3,193202.776
2011-01-01,SP,GASOLINA C,m3,824087.139
2011-01-01,PR,GASOLINA C,m3,202203.319
2011-01-01,SC,GASOLINA C,m3,160081.945
2011-01-01,RS,GASOLINA C,m3,223755.739
2011-01-01,MS,GASOLINA C,m3,43673.6
2011-01-01,MT,GASOLINA C,m3,46892.3
2011-01-01,GO,GASOLINA C,m3,121655.146
2011-01-01,DF,GASOLINA C,m3,76108.8
2012-01-01,RO,GASOLINA C,m3,26749.079
2012-01-01,AC,GASOLINA C,m3,118891.75
2012-01-01,AM,GASOLINA C,m3,49760.044
2012-01-01,RR,GASOLINA C,m3,8727.8
2012-01-01,PA,GASOLINA C,m3,87037.24
2012-01-01,AP,GASOLINA C,m3,11125.4
2012-01-01,TO,GASOLINA C,m3,26502.99
2012-01-01,MA,GASOLINA C,m3,63846.67
2012-01-01,PI,GASOLINA C,m3,36563.61
2012-01-01,CE,GASOLINA C,m3,90826.0
2012-01-01,RN,GASOLINA C,m3,43714.85
2012-01-01,PB,GASOLINA C,m3,47622.5
2012-01-01,PE,GASOLINA C,m3,97914.25
2012-01-01,AL,GASOLINA C,m3,28949.5
2012-01-01,SE,GASOLINA C,m3,340092.125
2012-01-01,BA,GASOLINA C,m3,179521.841
2012-01-01,MG,GASOLINA C,m3,368777.228
2012-01-01,ES,GASOLINA C,m3,74777.07
2012-01-01,RJ,GASOLINA C,m3,201702.534
2012-01-01,SP,GASOLINA C,m3,889791.052
2012-01-01,PR,GASOLINA C,m3,225337.944
2012-01-01,SC,GASOLINA C,m3,173625.232
2012-01-01,RS,GASOLINA C,m3,246716.157
2012-01-01,MS,GASOLINA C,m3,51409.6
2012-01-01,MT,GASOLINA C,m3,52030.48
2012-01-01,GO,GASOLINA C,m3,109882.652
2012-01-01,DF,GASOLINA C,m3,75651.0
2013-01-01,RO,GASOLINA C,m3,378462.95
2013-01-01,AC,GASOLINA C,m3,11644.0
2013-01-01,AM,GASOLINA C,m3,49985.655
2013-01-01,RR,GASOLINA C,m3,9763.6
2013-01-01,PA,GASOLINA C,m3,83493.68
2013-01-01,AP,GASOLINA C,m3,12507.1
2013-01-01,TO,GASOLINA C,m3,30221.35
2013-01-01,MA,GASOLINA C,m3,63573.5
2013-01-01,PI,GASOLINA C,m3,40892.52
2013-01-01,CE,GASOLINA C,m3,98824.428
2013-01-01,RN,GASOLINA C,m3,48367.012
2013-01-01,PB,GASOLINA C,m3,45380.35
2013-01-01,PE,GASOLINA C,m3,114548.002
2013-01-01,AL,GASOLINA C,m3,400517.967
2013-01-01,SE,GASOLINA C,m3,35089.3
2013-01-01,BA,GASOLINA C,m3,169436.759
2013-01-01,MG,GASOLINA C,m3,406011.324
2013-01-01,ES,GASOLINA C,m3,70118.675
2013-01-01,RJ,GASOLINA C,m3,228016.603
2013-01-01,SP,GASOLINA C,m3,858133.83
2013-01-01,PR,GASOLINA C,m3,216155.408
2013-01-01,SC,GASOLINA C,m3,193432.57
2013-01-01,RS,GASOLINA C,m3,269585.233
2013-01-01,MS,GASOLINA C,m3,54364.27
2013-01-01,MT,GASOLINA C,m3,40527.403
2013-01-01,GO,GASOLINA C,m3,123305.207
2013-01-01,DF,GASOLINA C,m3,1123062.26
2014-01-01,RO,GASOLINA C,m3,38988.0
2014-01-01,AC,GASOLINA C,m3,11290.5
2014-01-01,AM,GASOLINA C,m3,58156.603
2014-01-01,RR,GASOLINA C,m3,11589.0
2014-01-01,PA,GASOLINA C,m3,93391.5
2014-01-01,AP,GASOLINA C,m3,12920.2
2014-01-01,TO,GASOLINA C,m3,28191.83
2014-01-01,MA,GASOLINA C,m3,71219.009
2014-01-01,PI,GASOLINA C,m3,46557.44
2014-01-01,CE,GASOLINA C,m3,102629.37
2014-01-01,RN,GASOLINA C,m3,50572.5
2014-01-01,PB,GASOLINA C,m3,58607.387
2014-01-01,PE,GASOLINA C,m3,1497221.784
2014-01-01,AL,GASOLINA C,m3,42687.0
2014-01-01,SE,GASOLINA C,m3,32267.9
2014-01-01,BA,GASOLINA C,m3,195674.548
2014-01-01,MG,GASOLINA C,m3,423700.317
2014-01-01,ES,GASOLINA C,m3,75090.433
2014-01-01,RJ,GASOLINA C,m3,228084.475
2014-01-01,SP,GASOLINA C,m3,852595.889
2014-01-01,PR,GASOLINA C,m3,244470.721
2014-01-01,SC,GASOLINA C,m3,214270.467
2014-01-01,RS,GASOLINA C,m3,284905.477
2014-01-01,MS,GASOLINA C,m3,52908.842
2014-01-01,MT,GASOLINA C,m3,50410.85
2014-01-01,GO,GASOLINA C,m3,1639888.518
2014-01-01,DF,GASOLINA C,m3,102784.0
2015-01-01,RO,GASOLINA C,m3,32944.9
2015-01-01,AC,GASOLINA C,m3,12289.0
2015-01-01,AM,GASOLINA C,m3,54941.607
2015-01-01,RR,GASOLINA C,m3,10316.6
2015-01-01,PA,GASOLINA C,m3,98040.45
2015-01-01,AP,GASOLINA C,m3,12999.4
2015-01-01,TO,GASOLINA C,m3,27584.2
2015-01-01,MA,GASOLINA C,m3,71792.1
2015-01-01,PI,GASOLINA C,m3,47179.267
2015-01-01,CE,GASOLINA C,m3,99017.4
2015-01-01,RN,GASOLINA C,m3,58504.552
2015-01-01,PB,GASOLINA C,m3,662396.748
2015-01-01,PE,GASOLINA C,m3,121757.387
2015-01-01,AL,GASOLINA C,m3,33539.0
2015-01-01,SE,GASOLINA C,m3,33238.393
2015-01-01,BA,GASOLINA C,m3,168705.526
2015-01-01,MG,GASOLINA C,m3,322726.51
2015-01-01,ES,GASOLINA C,m3,77349.42
2015-01-01,RJ,GASOLINA C,m3,218122.719
2015-01-01,SP,GASOLINA C,m3,762258.764
2015-01-01,PR,GASOLINA C,m3,216098.169
2015-01-01,SC,GASOLINA C,m3,207278.542
2015-01-01,RS,GASOLINA C,m3,256567.619
2015-01-01,MS,GASOLINA C,m3,61409.75
2015-01-01,MT,GASOLINA C,m3,565513.122
2015-01-01,GO,GASOLINA C,m3,139309.502
2015-01-01,DF,GASOLINA C,m3,91368.88
2016-01-01,RO,GASOLINA C,m3,36883.361
2016-01-01,AC,GASOLINA C,m3,11979.992
2016-01-01,AM,GASOLINA C,m3,54695.354
2016-01-01,RR,GASOLINA C,m3,10451.6
2016-01-01,PA,GASOLINA C,m3,93631.717
2016-01-01,AP,GASOLINA C,m3,12527.1
2016-01-01,TO,GASOLINA C,m3,29440.2
2016-01-01,MA,GASOLINA C,m3,78098.719
2016-01-01,PI,GASOLINA C,m3,45662.0
2016-01-01,CE,GASOLINA C,m3,109336.5
2016-01-01,RN,GASOLINA C,m3,651680.245
2016-01-01,PB,GASOLINA C,m3,64163.06
2016-01-01,PE,GASOLINA C,m3,124480.635
2016-01-01,AL,GASOLINA C,m3,38115.5
2016-01-01,SE,GASOLINA C,m3,34930.0
2016-01-01,BA,GASOLINA C,m3,182385.9
2016-01-01,MG,GASOLINA C,m3,359277.379
2016-01-01,ES,GASOLINA C,m3,74357.172
2016-01-01,RJ,GASOLINA C,m3,216258.845
2016-01-01,SP,GASOLINA C,m3,858668.445
2016-01-01,PR,GASOLINA C,m3,249210.841
2016-01-01,SC,GASOLINA C,m3,224014.917
2016-01-01,RS,GASOLINA C,m3,268370.09
2016-01-01,MS,GASOLINA C,m3,741872.019
2016-01-01,MT,GASOLINA C,m3,60012.243
2016-01-01,GO,GASOLINA C,m3,128573.63
2016-01-01,DF,GASOLINA C,m3,107782.83
2017-01-01,RO,GASOLINA C,m3,37903.3
2017-01-01,AC,GASOLINA C,m3,12313.7
2017-01-01,AM,GASOLINA C,m3,55391.201
2017-01-01,RR,GASOLINA C,m3,11493.4
2017-01-01,PA,GASOLINA C,m3,97861.653
2017-01-01,AP,GASOLINA C,m3,12076.7
2017-01-01,TO,GASOLINA C,m3,32182.26
2017-01-01,MA,GASOLINA C,m3,70832.99
2017-01-01,PI,GASOLINA C,m3,51026.28
2017-01-01,CE,GASOLINA C,m3,1381639.086
2017-01-01,RN,GASOLINA C,m3,59016.375
2017-01-01,PB,GASOLINA C,m3,58609.423
2017-01-01,PE,GASOLINA C,m3,126140.914
2017-01-01,AL,GASOLINA C,m3,36406.5
2017-01-01,SE,GASOLINA C,m3,33829.1
2017-01-01,BA,GASOLINA C,m3,185897.961
2017-01-01,MG,GASOLINA C,m3,401200.76
2017-01-01,ES,GASOLINA C,m3,77105.0
2017-01-01,RJ,GASOLINA C,m3,208558.782
2017-01-01,SP,GASOLINA C,m3,962693.605
2017-01-01,PR,GASOLINA C,m3,247561.445
2017-01-01,SC,GASOLINA C,m3,243096.739
2017-01-01,RS,GASOLINA C,m3,3594255.279
2017-01-01,MS,GASOLINA C,m3,68032.602
2017-01-01,MT,GASOLINA C,m3,45157.26
2017-01-01,GO,GASOLINA C,m3,120161.872
2017-01-01,DF,GASOLINA C,m3,98380.1
2018-01-01,RO,GASOLINA C,m3,37820.5
2018-01-01,AC,GASOLINA C,m3,11141.2
2018-01-01,AM,GASOLINA C,m3,51104.724
2018-01-01,RR,GASOLINA C,m3,11178.209
2018-01-01,PA,GASOLINA C,m3,91567.69
2018-01-01,AP,GASOLINA C,m3,13197.447
2018-01-01,TO,GASOLINA C,m3,27305.833
2018-01-01,MA,GASOLINA C,m3,80860.118
2018-01-01,PI,GASOLINA C,m3,557661.833
2018-01-01,CE,GASOLINA C,m3,122728.097
2018-01-01,RN,GASOLINA C,m3,49430.612
2018-01-01,PB,GASOLINA C,m3,49731.34
2018-01-01,PE,GASOLINA C,m3,102705.341
2018-01-01,AL,GASOLINA C,m3,35989.501
2018-01-01,SE,GASOLINA C,m3,30153.003
2018-01-01,BA,GASOLINA C,m3,165660.671
2018-01-01,MG,GASOLINA C,m3,265496.659
2018-01-01,ES,GASOLINA C,m3,75359.963
2018-01-01,RJ,GASOLINA C,m3,201597.299
2018-01-01,SP,GASOLINA C,m3,728125.347
2018-01-01,PR,GASOLINA C,m3,218531.222
2018-01-01,SC,GASOLINA C,m3,2750212.923
2018-01-01,RS,GASOLINA C,m3,333951.518
2018-01-01,MS,GASOLINA C,m3,59231.87
2018-01-01,MT,GASOLINA C,m3,40779.356
2018-01-01,GO,GASOLINA C,m3,88315.255
2018-01-01,DF,GASOLINA C,m3,88786.802
2019-01-01,RO,GASOLINA C,m3,39127.9
2019-01-01,AC,GASOLINA C,m3,10467.575
2019-01-01,AM,GASOLINA C,m3,55942.207
2019-01-01,RR,GASOLINA C,m3,13148.68
2019-01-01,PA,GASOLINA C,m3,91488.28
2019-01-01,AP,GASOLINA C,m3,12217.707
2019-01-01,TO,GASOLINA C,m3,29096.18
2019-01-01,MA,GASOLINA C,m3,949378.146
2019-01-01,PI,GASOLINA C,m3,52929.28
2019-01-01,CE,GASOLINA C,m3,120079.8
2019-01-01,RN,GASOLINA C,m3,54021.0
2019-01-01,PB,GASOLINA C,m3,54704.005
2019-01-01,PE,GASOLINA C,m3,118671.21
2019-01-01,AL,GASOLINA C,m3,37333.663
2019-01-01,SE,GASOLINA C,m3,29371.5
