id,year_month,uf,product,unit,volume,created_at
126,2013-01-01,ES,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
127,2013-01-01,RJ,OLEO DIESEL (OUTROS ),m3,893.606,2022-06-14 09:28:16.189637-03
128,2013-01-01,SP,OLEO DIESEL (OUTROS ),m3,1691.852,2022-06-14 09:28:16.189637-03
129,2013-01-01,PR,OLEO DIESEL (OUTROS ),m3,89.777,2022-06-14 09:28:16.189637-03
130,2013-01-01,SC,OLEO DIESEL (OUTROS ),m3,20,2022-06-14 09:28:16.189637-03
131,2013-01-01,RS,OLEO DIESEL (OUTROS ),m3,3933.312,2022-06-14 09:28:16.189637-03
132,2013-01-01,MS,OLEO DIESEL (OUTROS ),m3,30,2022-06-14 09:28:16.189637-03
133,2013-01-01,MT,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
134,2013-01-01,GO,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
135,2013-01-01,DF,OLEO DIESEL (OUTROS ),m3,0,2022-06-14 09:28:16.189637-03
136,2014-01-01,RO,OLEO DIESEL S-10,m3,12517.9,2022-06-14 09:28:16.189637-03
137,2014-01-01,AC,OLEO DIESEL S-10,m3,2253,2022-06-14 09:28:16.189637-03
138,2014-01-01,AM,OLEO DIESEL S-10,m3,7952.262,2022-06-14 09:28:16.189637-03
139,2014-01-01,RR,OLEO DIESEL S-10,m3,1856.6,2022-06-14 09:28:16.189637-03
140,2014-01-01,PA,OLEO DIESEL S-10,m3,46813.45,2022-06-14 09:28:16.189637-03
141,2014-01-01,AP,OLEO DIESEL S-10,m3,891,2022-06-14 09:28:16.189637-03
142,2014-01-01,TO,OLEO DIESEL S-10,m3,15295.6,2022-06-14 09:28:16.189637-03
143,2014-01-01,MA,OLEO DIESEL S-10,m3,20226.5,2022-06-14 09:28:16.189637-03
144,2014-01-01,PI,OLEO DIESEL S-10,m3,167251.68,2022-06-14 09:28:16.189637-03
145,2014-01-01,CE,OLEO DIESEL S-10,m3,61558.161,2022-06-14 09:28:16.189637-03
146,2014-01-01,RN,OLEO DIESEL S-10,m3,8367,2022-06-14 09:28:16.189637-03
147,2014-01-01,PB,OLEO DIESEL S-10,m3,13239.87,2022-06-14 09:28:16.189637-03
148,2014-01-01,PE,OLEO DIESEL S-10,m3,68334,2022-06-14 09:28:16.189637-03
149,2014-01-01,AL,OLEO DIESEL S-10,m3,9001.5,2022-06-14 09:28:16.189637-03
150,2014-01-01,SE,OLEO DIESEL S-10,m3,10641.5,2022-06-14 09:28:16.189637-03
151,2014-01-01,BA,OLEO DIESEL S-10,m3,62844.116,2022-06-14 09:28:16.189637-03
152,2014-01-01,MG,OLEO DIESEL S-10,m3,122718.383,2022-06-14 09:28:16.189637-03
153,2014-01-01,ES,OLEO DIESEL S-10,m3,19840.35,2022-06-14 09:28:16.189637-03
154,2014-01-01,RJ,OLEO DIESEL S-10,m3,96899.815,2022-06-14 09:28:16.189637-03
155,2014-01-01,SP,OLEO DIESEL S-10,m3,266790.807,2022-06-14 09:28:16.189637-03
156,2014-01-01,PR,OLEO DIESEL S-10,m3,77543.666,2022-06-14 09:28:16.189637-03
157,2014-01-01,SC,OLEO DIESEL S-10,m3,612054.306,2022-06-14 09:28:16.189637-03
158,2014-01-01,RS,OLEO DIESEL S-10,m3,60585.175,2022-06-14 09:28:16.189637-03
159,2014-01-01,MS,OLEO DIESEL S-10,m3,28238.2,2022-06-14 09:28:16.189637-03
